"ID_TRX";"ID_CARD";"DATETIME_GMT";"AMOUNT";"Anomaly_amount_1";"Anomaly_amount_2";"Anomaly_amount_3";"Anomaly_amount_4";"Anomaly_amount_5";"Anomaly_amount_6";"Anomaly_amount_7";"Anomaly_amount_8";"FLAG_BEHAVIOUR_Anomaly_1";"FLAG_BEHAVIOUR_Anomaly_2";"FLAG_BEHAVIOUR_Anomaly_3";"FLAG_BEHAVIOUR_Anomaly_4";"FLAG_BEHAVIOUR_Anomaly_5";"FLAG_BEHAVIOUR_Anomaly_6";"FLAG_BEHAVIOUR_Anomaly7";"FLAG_BEHAVIOUR_Anomaly_8";"Anomaly_amount_9";"Population_Anomaly_1";"Population_Anomaly_2";"Population_Anomaly_3";"Population_Anomaly_4";"Population_Anomaly_5";"Population_Anomaly_6";"Population_Anomaly_7";"Population_Anomaly_8"
"1";200492121;30486544;2023-10-17 11:35:00;"350";"-0,285714";"-0,410714";"-0,464286";"-0,459184";"-0,407143";"0,403061";"-1";"-1";0;1;1;0;0;0;0;0;"1,205674";"-1";"-0,64488";"-0,628587";"-0,63775";"-0,650597";"-0,650005";"-0,190476";"-0,328571"
"2";200492138;51204390;2023-10-17 11:35:00;"33";"0,323232";"1,359307";"1,359307";"0,979798";"0,90303";"-0,573803";"0,151515";"-1";0;0;0;0;0;0;0;0;"0,938124";"0,573803";"2,766422";"2,939225";"2,842045";"2,705788";"2,712072";"-0,050505";"0,012121"
"3";200492221;60321087;2023-10-17 11:36:00;"300";"-1";"2,333333";"2,333333";"2,333333";"2,333333";"-2,329983";"2,326633";"-1";0;0;0;0;0;0;0;0;NA;"-1";"0,254489";"0,330933";"0,316101";"0,307533";"0,327653";"-1";"-1"
"4";200492248;32008209;2023-10-17 11:36:00;"50";"-1";"-1";"-1";"-1";"-1";"1";"-1";"-1";1;0;0;0;0;0;0;0;NA;"-1";"1,485838";"1,599888";"1,53575";"1,44582";"1,449967";"-1";"-1"
"5";200492256;37927102;2023-10-17 11:36:00;"56,6";"2,922261";"2,922261";"2,922261";"0,305212";"0,383324";"-0,454653";"0,369258";"-1";0;1;1;1;1;1;1;0;"1,240983";"-1";"1,19597";"1,296721";"1,240061";"1,160619";"1,164282";"1,097173";"0,689929"
"6";200492319;55976532;2023-10-17 11:37:00;"50";"1,244444";"1,433333";"1,410526";"1,533333";"1,533333";"-1,262069";"-0,04";"-1";0;0;0;0;0;0;0;0;"0,972222";"1,262069";"1,595378";"1,744353";"1,687287";"1,616159";"1,616626";"-0,066667";"-0,04"
"7";200492334;51213543;2023-10-17 11:37:00;"30";"-0,366667";"0,8";"1,911111";"1,911111";"1,70303";"-2,082051";"-1";"-1";0;0;0;0;0;0;0;0;"0,881944";"2,082051";"3,325631";"3,573922";"3,478812";"3,360266";"3,361043";"0,411111";"0,6"
"8";200492342;54824046;2023-10-17 11:37:00;"50";"2";"0,296667";"0,31125";"0,261765";"0,202778";"-0,155263";"-0,7";"-1";0;0;0;0;0;0;0;0;"1,380861";"-0,025";"6,526933";"6,985597";"6,896604";"6,845197";"6,965918";"0,433333";"0,038"
"9";200492352;31134023;2023-10-17 11:37:00;"88";"-1";"-1";"-1";"-0,496212";"-0,496212";"0,496212";"-1";"-1";0;0;0;0;0;0;0;0;NA;"-0,496212";"0,412408";"0,477209";"0,440767";"0,389671";"0,392027";"-0,238636";"-1"
"10";200492355;51026459;2023-10-17 11:37:00;"50";"1,58";"1,744";"1,486667";"1,328";"1,328";"-1,328";"-1";"-1";0;0;0;0;0;0;0;0;"0,770771";"1,328";"1,485838";"1,599888";"1,53575";"1,44582";"1,449967";"1,053333";"1,664"
"11";200492370;28366472;2023-10-17 11:38:00;"69";"-0,374741";"-0,338768";"-0,326087";"-0,32644";"-0,349532";"0,109629";"-0,42029";"-1";0;0;1;1;0;0;1;0;"1,07971";"-0,330435";"0,801332";"0,883977";"0,8375";"0,772333";"0,775339";"-0,280193";"-0,333333"
"12";200492379;59136594;2023-10-17 11:39:00;"248";"-0,403226";"-0,431085";"-0,314042";"-0,314042";"-0,314042";"0,314042";"-1";"-1";0;0;0;0;0;0;0;0;"1,178571";"-0,314042";"0,517527";"0,609999";"0,592057";"0,581693";"0,606032";"-0,201613";"-0,322581"
"13";200492481;60404307;2023-10-17 11:39:00;"198";"-0,494949";"-0,141414";"-0,141414";"-0,141414";"-0,141414";"0,141414";"-1";"-1";0;0;0;0;0;0;0;0;NA;"-0,158249";"0,900741";"1,016565";"0,994092";"0,98111";"1,011595";"-0,195286";"-1"
"14";200492487;49609141;2023-10-17 11:39:00;"100";"0,6025";"0,66";"0,852222";"1,125294";"0,962609";"-1,203235";"5,99";"7";0;0;1;1;1;1;1;0;"1,594295";"0,266667";"0,297689";"0,372177";"0,343643";"0,30808";"0,308313";"3,993333";"2,132"
"15";200492677;38156320;2023-10-17 11:41:00;"80";"-1";"-1";"-1";"-1";"-1";"1";"-1";"-1";1;0;0;0;0;0;0;0;NA;"-1";"0,553649";"0,62493";"0,584843";"0,528638";"0,53123";"-1";"-1"
"16";200492709;30483373;2023-10-17 11:42:00;"6";"4,5";"4,433333";"4,921053";"5,256098";"5,585784";"-5,876147";"9,833333";"-1";0;0;0;0;0;0;0;0;"1,300287";"5,069652";"19,715318";"20,665736";"20,131246";"19,381835";"19,416395";"9,055556";"6,733333"
"17";200492768;58000003;2023-10-17 11:42:00;"110";"0,845455";"0,26461";"0,172397";"0,172397";"0,172397";"-0,183943";"0,250529";"-0,212121";0;0;0;0;0;0;0;0;"0,957447";"0,186858";"2,421333";"2,629817";"2,589365";"2,565999";"2,620872";"-0,181818";"-0,145455"
"18";200492831;46266118;2023-10-17 11:43:00;"100";"-1";"0";"0";"0";"0";"0";"-1";"-1";0;0;0;0;0;0;0;0;NA;"-1";"0,242919";"0,299944";"0,267875";"0,22291";"0,224984";"-1";"-1"
"19";200492886;46324978;2023-10-17 11:43:00;"500";"-0,65";"-0,65";"-0,786";"-0,812857";"-0,812556";"0,623093";"-0,767143";"-1";0;0;1;1;1;1;0;0;"1,337449";"-1";"-0,751416";"-0,740011";"-0,746425";"-0,755418";"-0,755003";"-0,566667";"-0,676"
"20";200492859;46633403;2023-10-17 11:44:00;"450";"-0,444444";"-0,591111";"-0,713611";"-0,710864";"-0,635556";"0,606049";"0,111111";"-1";0;0;0;0;0;0;0;0;"1,176471";"-0,606049";"-0,723796";"-0,711124";"-0,71825";"-0,728242";"-0,727781";"-0,111111";"-0,244444"
"21";200492997;57048730;2023-10-17 11:45:00;"70";"-0,261039";"-0,242857";"-0,322857";"-0,253061";"-0,253061";"0,267532";"-0,571429";"-1";0;0;0;0;0;0;0;0;"1,006768";"-0,235714";"0,853842";"0,960252";"0,919491";"0,868685";"0,869018";"-0,433333";"-0,437143"
"22";200493047;46445452;2023-10-17 11:45:00;"50";"-1";"0,666667";"0,963636";"0,9";"0,945556";"-0,679925";"-0,2";"-1";0;0;0;0;0;0;0;0;"0,614035";"0,52";"1,485838";"1,599888";"1,53575";"1,44582";"1,449967";"-0,066667";"0,52"
"23";200493069;49395733;2023-10-17 11:45:00;"300";"-0,67";"-0,654667";"-0,708148";"-0,708148";"-0,708148";"0,672778";"-1";"-1";0;0;0;0;0;0;0;0;"1,38796";"-0,645667";"-0,585694";"-0,566685";"-0,577375";"-0,592363";"-0,591672";"-0,446667";"-0,601333"
"24";200493077;52710049;2023-10-17 11:46:00;"20";"0,059125";"0,052";"0,19065";"0,303536";"0,331029";"-0,396725";"-0,28975";"-1";0;0;0;0;0;0;0;0;"0,866259";"-0,337";"2,855531";"3,207517";"2,945699";"2,764265";"2,729685";"-0,193167";"-0,0686"
"25";200493111;59995969;2023-10-17 11:46:00;"41";"0,170732";"0,108014";"0,108014";"0,108014";"0,108014";"-0,237805";"1,146341";"-1";0;0;0;0;0;0;0;0;"0,885886";"0,237805";"2,165096";"2,346772";"2,277179";"2,190438";"2,191007";"0,439024";"0,62439"
"26";200493148;58344515;2023-10-17 11:46:00;"25";"-0,108571";"0,004706";"0,052245";"0,052245";"0,052245";"-0,111579";"0,475";"-0,2";0;0;1;1;1;1;1;0;"0,975976";"0,158621";"4,190757";"4,488706";"4,374574";"4,232319";"4,233252";"-0,133333";"-0,112"
"27";200493220;58508794;2023-10-17 11:47:00;"109,88";"-0,673803";"-0,715022";"-0,688374";"-0,688374";"-0,688374";"0,703082";"-0,908992";"-1";0;0;0;0;0;0;0;0;"1,655792";"-0,763393";"0,181006";"0,248796";"0,222828";"0,190462";"0,190674";"-0,538102";"-0,721041"
"28";200493239;36213412;2023-10-17 11:47:00;"200";"-1";"-1";"-1";"-1";"-1";"1";"-1";"-1";0;0;0;0;0;0;0;0;NA;"-1";"-0,37854";"-0,350028";"-0,366063";"-0,388545";"-0,387508";"-1";"-1"
"29";200493132;55827178;2023-10-17 11:48:00;"10";"-0,09";"0,006667";"0,006667";"0,006667";"0,006667";"-0,052941";"0,4";"-1";0;0;0;0;0;0;0;0;"1,319444";"0,052941";"11,429191";"11,999442";"11,678748";"11,229101";"11,249837";"0,266667";"-0,04"
"30";200493295;28231529;2023-10-17 11:48:00;"20";"15,75";"9,171429";"5,81";"5,0275";"5,253571";"-4,896512";"-1";"-1";0;0;0;0;0;0;0;0;"1,419753";"5,195";"5,214596";"5,499721";"5,339374";"5,11455";"5,124918";"10,5";"7,1"
"31";200493355;54987913;2023-10-17 11:48:00;"29";"-1";"0,206897";"0,028736";"-0,024631";"-0,024631";"0,024631";"-1";"-1";0;1;1;1;0;0;1;0;"0,672348";"-1";"3,47479";"3,731644";"3,633253";"3,51062";"3,511424";"-0,183908";"0,213793"
"32";200493396;58675742;2023-10-17 11:49:00;"98";"4,710204";"3,581633";"3,070501";"3,070501";"3,070501";"-3,070501";"-1";"-1";0;0;0;0;0;0;0;0;"0,751506";"3,070501";"0,268285";"0,326474";"0,29375";"0,247867";"0,249983";"2,904762";"4,195918"
"33";200493424;48331978;2023-10-17 11:49:00;"25";"0,951422";"1,095175";"1,461081";"1,948844";"1,946284";"-2,488533";"10,73072";"-1";0;0;0;0;0;0;0;0;"0,143619";"1,891714";"3,971676";"4,199777";"4,071499";"3,89164";"3,899935";"0,506667";"9,49072"
"34";200493467;23141169;2023-10-17 11:50:00;"11";"1,090909";"10,454545";"12,8";"8,909091";"6,901515";"-7,459893";"-1";"-1";0;0;0;0;0;0;0;0;"0,236246";"5,517045";"10,299265";"10,817674";"10,526134";"10,117364";"10,136215";"1,212121";"8,363636"
"35";200493471;55062325;2023-10-17 11:50:00;"600";"-0,705833";"-0,733476";"-0,700906";"-0,700316";"-0,700661";"0,712475";"-0,861333";"-1";0;0;0;0;0;0;0;0;"1,19194";"-0,712475";"-0,792847";"-0,783343";"-0,788688";"-0,796182";"-0,795836";"-0,612222";"-0,674667"
"36";200493548;55861233;2023-10-17 11:51:00;"20";"-0,042593";"-0,030392";"-0,109914";"-0,093493";"-0,093493";"0,089873";"-0,045833";"-1";0;0;0;0;0;0;0;0;"0,964912";"-0,089873";"5,488446";"5,860883";"5,718217";"5,540399";"5,541565";"-0,083333";"-0,05"
